file_name,text
IMG_8746.png,This image depicts tree roots causing cracks in laid bricks
IMG_8748.png,This image depicts two plants growing out of cracks between grey bricks
IMG_8750.png,This image depicts many plants & flower growing in large cracked area of brick
IMG_8759.png,This image depicts plants growing in space between grates and bricks
IMG_8865.png,This image depicts small plant growing in large gap between stones in a walkway
IMG_8866.png,"This image depicts plants growing around, underneath & between stones in a walkway"
IMG_8867.png,This image depicts grass growing in the crack of asphalt/cement
IMG_8868.png,This image depicts plants growing in space between two blocks of cement
IMG_8869.png,This image depicts plants growing in large gap between cement and asphalt
IMG_8870.png,This image depicts plants growing in cracks on edge of asphalt
IMG_8871.png,This image depicts 3 plants growing in tiny crack in asphalt
IMG_8872.png,This image depicts moss growing in crack of asphalt
IMG_8873.png,This image depicts plants growing in geometric pattern of cracks between stones
IMG_8874.png,This image depicts moss and leaves growing between square bricks
IMG_8875.png,This image depicts a plant with soda can tab in it growing between bricks
IMG_8876.png,This image depicts plants filling spaces of asphalt and bricks
IMG_8877.png,This image depicts plants growing in cracks around manhole cover
IMG_8878.png,This image depicts plants growing in large crack of stone
IMG_8880.png,This image depicts grass growing in space between brick & asphalt
IMG_8881.png,This image depicts grass growing in cracks of brick
IMG_8882.png,This image depicts plants growing in cracks and spaces between laid stones
IMG_8883.png,This image depicts moss growing in cracks of asphalt
IMG_8884.png,This image depicts a dandelion growing in crack between brick wall and ground
IMG_8885.png,This image depicts plants growing in space between two blocks of cement
IMG_8887.png,This image depicts a plant growing in crack between raised bricks
IMG_8888.png,This image depicts plants growing in large crack of cement
IMG_8889.png,This image depicts grass growing in large cracks of cement
IMG_8890.png,This image depicts plants growing in crack between raised bricks
IMG_8891.png,This image depicts plant growing in space between bricks
IMG_8892.png,This image depicts plants growing along crack in cement
IMG_8893.png,This image depicts a plant growing in crack between 4 slabs of concrete
IMG_8894.png,This image depicts plants growing in large crack of concrete
IMG_8895.png,This image depicts moss and plants growing in cracks of stone and concrete
IMG_8896.png,This image depicts grass growing in cracks of concrete
IMG_8897.png,This image depicts moss and plants growing in large cracks of concrete
IMG_8898.png,This image depicts moss and plants growing in large cracks of concrete
IMG_8899.png,This image depicts grass growing in cracks around pole
IMG_8900.png,This image depicts grass growing in cracks of brick
IMG_8901.png,This image depicts leaves growing out of crack in cement steps
IMG_8902.png,This image depicts leaves growing out of crack in cement steps
america_map1.jpg,This image depicts a satellite map of the North American continent
america_map2.jpg,This image depicts a satellite map of the continental United States of America with state borders 
america_map3.jpg,This image depicts a satellite map of the North American continent with state borders
america_map4.jpg,This image depicts a satellite map of the United States of America
america_map5.jpg,This image depicts a satellite map of the United States of America
america_map6.jpg,This image depicts a satellite map of the United States of America taken from the South looking North
america_map7.jpg,This image depicts a satellite map of the United States of America taken at nightime with city lights shining
america_map8.jpg,This image depicts a topography map of the United States of America
america_map9.jpg,This image depicts a satellite map of the United States of America taken from the South looking North with state borders
america_map10.jpg,This image depicts a satellite map of the United States of America taken from the South looking North with state borders
america_map11.jpg,This image depicts a drawing of the United States of America with state borders
america_map12.jpg,This image depicts a colored drawing of the United States of America with state borders
america_map13.jpg,This image depicts  a topography map of the United States of America with state borders
america_map14.jpg,This image depicts a map of the United States of America state and county lines
america_map15.jpg,This image depicts a colored map of the United States of America state and county lines
america_map16.jpg,This image depicts a drawing of the United States of America with state borders
america_map17.jpg,This image depicts a drawing of the United States of America with state borders
america_map18.jpg,This image depicts a drawing of the United States of America with state borders
america_map19.jpg,This image depicts a drawing of the United States of America with states colored according to political party
america_map20.jpg,This image depicts a drawing of the United States of America with labeled states colored according to political party
america_map21.jpg,This image depicts a map of the United States of America state and its interstates
america_map22.jpg,This image depicts a map of the United States of America state and its major roads